World rank,Country,Institution,Total Score,PUB,CNCI,IC,TOP,AWARD
mathematics,2018,,,,,,,
1,UnitedStates,Princeton University,349.5,64.2,72.9,62.2,100,100
2,France,University of Paris-Sud (Paris 11),291.1,68.7,58.5,69.1,75.8,74.3
3,UnitedStates,Stanford University,283.7,62.3,74.9,59.4,82.2,52.5
4,UnitedKingdom,University of Oxford,278.4,70.3,64.1,73,70.7,58.7
5,UnitedStates,New York University,276.4,57,72.5,67.2,59.2,74.3
6,UnitedStates,Massachusetts Institute of Technology (MIT),274.4,74.8,69.5,64,85.1,32.2
7,UnitedKingdom,University of Cambridge,266.7,62.6,66.1,74,70.7,52.5
8,UnitedStates,"University of California, Los Angeles",264,59.9,68,65.9,77.5,45.5
9,France,Sorbonne University,254.4,77.5,64.1,77.1,65.2,32.2
10,UnitedStates,"University of California, Berkeley",243.9,67.3,67.4,61.7,70.7,26.3
11,UnitedKingdom,University of Warwick,243.2,56.6,61.4,78.4,57,52.5
12,UnitedStates,Harvard University,237,44.8,67,61.3,75.8,37.1
13,UnitedStates,The University of Texas at Austin,232.6,60.4,69.1,64.9,44.7,45.5
14,UnitedStates,University of Wisconsin - Madison,230.6,54.7,66.1,67.2,59.2,37.1
15,UnitedStates,Stony Brook University,229.5,42.2,60.4,65.7,61.2,52.5
16,UnitedStates,"Rutgers, The State University of New Jersey - New Brunswick",228.4,64.2,62.1,75,50,37.1
17,Japan,Kyoto University,218.9,65.1,56.5,59.5,59.2,26.3
18,UnitedStates,University of Chicago,217.3,54.8,72.1,64.7,77.5,0
19,Israel,The Hebrew University of Jerusalem,216.7,50,53.9,77.2,65.2,32.2
20,UnitedKingdom,Imperial College London,205.4,60.6,67.6,79.9,61.2,0
21,UnitedStates,"University of California, San Diego",204.8,54.1,61.1,66.2,50,26.3
22,Sweden,KTH Royal Institute of Technology,202.7,41.3,58.5,77.7,41.8,45.5
23,UnitedStates,University of Illinois at Urbana-Champaign,202.4,68.6,54.9,69.6,38.7,26.3
24,Switzerland,Swiss Federal Institute of Technology Zurich,202.3,63.5,63.4,81.3,59.2,0
25,UnitedStates,Columbia University,201.3,53.7,71.7,63.4,63.2,0
26,France,University Paris Diderot - Paris 7,199.2,64.6,63.2,71.8,57,0
26,UnitedKingdom,The University of Edinburgh,199.2,47.3,65.9,75.6,38.7,32.2
28,France,Ecole Normale Superieure - Paris,193.1,42.3,71.7,79.1,63.2,0
29,SaudiArabia,King Abdulaziz University,192.9,100,74.1,94.1,0,0
30,France,Paris Dauphine University (Paris 9),191.5,41.3,67.8,68.4,31.6,37.1
30,UnitedStates,Texas A&M University,191.5,61.2,66.3,70,50,0
32,France,Ecole Normale Superieure - Lyon,189.2,36.3,62.7,66,44.7,32.2
33,UnitedStates,University of Michigan-Ann Arbor,186.7,64.7,55.5,58.6,54.8,0
34,Switzerland,University of Geneva,184.5,31.7,59.7,80.2,31.6,45.5
35,UnitedStates,Brown University,183.9,47.7,70.7,65.3,52.4,0
36,Germany,University of Bonn,183.4,58,63.4,73.1,47.4,0
37,Austria,University of Vienna,182,65.2,62.5,78,38.7,0
38,UnitedStates,Georgia Institute of Technology,181.6,58.5,61.6,70.4,47.4,0
39,UnitedStates,"University of Minnesota, Twin Cities",180.7,58.7,65.2,60.4,44.7,0
40,China,Peking University,180.1,65.5,61.8,54.8,41.8,0
41,Singapore,National University of Singapore,179.6,50.7,59,87.4,52.4,0
42,France,Paul Sabatier University (Toulouse 3),177.8,51.1,62.3,72.1,50,0
43,UnitedStates,University of Washington,177,48.8,65,66.3,50,0
44,UnitedStates,Northwestern University,176.1,40.4,65,57.5,59.2,0
45,Canada,University of Toronto,176,59,56.7,77.5,44.7,0
46,Canada,University of British Columbia,175.8,57.5,60.4,80.2,41.8,0
47,UnitedStates,Rice University,175.7,40.4,75.4,62,47.4,0
48,UnitedStates,The Ohio State University - Columbus,175.3,53.2,58.7,66.8,50,0
49,Switzerland,Swiss Federal Institute of Technology Lausanne,171.7,55.7,63.4,85.8,35.4,0
50,UnitedStates,University of Florida,171.3,46,58,64.3,22.4,32.2
51-75,France,Aix Marseille University,null,66.1,57.5,75.9,27.4,0
51-75,UnitedStates,California Institute of Technology,null,42.5,68.6,64.2,41.8,0
51-75,France,Claude Bernard University Lyon 1,null,57.2,54.9,72,38.7,0
51-75,France,Ecole Polytechnique,null,57.7,62.1,73,31.6,0
51-75,UnitedStates,Indiana University Bloomington,null,46.3,56.7,68.4,47.4,0
51-75,France,INSA Lyon,null,55,57.7,70.9,35.4,0
51-75,Canada,McGill University,null,44.5,61.4,79.7,38.7,0
51-75,Russia,Moscow State University,null,93.5,44.2,44.5,15.8,0
51-75,France,Paris 13 University,null,42.2,58,74.2,50,0
51-75,Italy,Sapienza University of Rome,null,66.9,64.3,71.7,15.8,0
51-75,Israel,Technion-Israel Institute of Technology,null,63.3,55.7,71.5,31.6,0
51-75,Israel,Tel Aviv University,null,61.8,53.3,73,31.6,0
51-75,China,Tsinghua University,null,64.5,56.5,60.7,27.4,0
51-75,France,Universit? Grenoble Alpes,null,56.7,56.7,64.7,35.4,0
51-75,UnitedStates,"University of California, Irvine",null,46.4,60.4,65.5,47.4,0
