World rank,Country,Institution,Total Score,PUB,CNCI,IC,TOP,AWARD
51-75,Finland,University of Helsinki,null,45.4,64.3,81.1,41.8,0
51-75,Italy,University of Milan,null,53.5,79.1,75,22.4,0
51-75,Germany,University of Paderborn,null,32.3,97.5,75.9,22.4,0
51-75,France,University of Rennes 1,null,43.9,59.7,69.3,44.7,0
51-75,Brazil,University of Sao Paulo,null,67.1,52.5,75,27.4,0
51-75,China,University of Science and Technology of China,null,57.7,60.2,60,31.6,0
51-75,UnitedStates,University of Utah,null,38.8,63.9,60.9,47.4,0
51-75,Poland,University of Warsaw,null,63.2,51.7,69.9,31.6,0
51-75,Switzerland,University of Zurich,null,36.9,67.6,80.4,50,0
51-75,UnitedStates,Yale University,null,36.9,67,56.9,50,0
76-100,China-HongKong,City University of Hong Kong,null,47.9,75.2,66.3,15.8,0
76-100,France,Ecole Centrale Lyon,null,52.7,56,71.8,35.4,0
76-100,China,Fudan University,null,63.7,57.5,57.2,22.4,0
76-100,Germany,Humboldt University of Berlin,null,45.8,60.6,79.8,31.6,0
76-100,France,Jean Monnet University,null,52.9,55.2,71.8,35.4,0
76-100,UnitedStates,Michigan State University,null,48.3,68.6,73.5,27.4,0
76-100,Russia,National Research University - Higher School of Economics,null,56,53.9,61.9,31.6,0
76-100,UnitedStates,Pennsylvania State University - University Park,null,59.8,56.7,69.5,22.4,0
76-100,UnitedStates,Purdue University - West Lafayette,null,59.2,59.7,66.8,27.4,0
76-100,Italy,Scuola Normale Superiore - Pisa,null,35.2,74.9,74,31.6,0
76-100,SouthKorea,Seoul National University,null,51.3,59.5,68.6,27.4,0
76-100,China,Shanghai Jiao Tong University,null,63.6,59.7,62.6,15.8,0
76-100,China-HongKong,The Chinese University of Hong Kong,null,49.9,70.7,73.9,22.4,0
76-100,Australia,The University of New South Wales,null,51.2,63.7,80,22.4,0
76-100,UnitedKingdom,University College London,null,40.4,63.4,79,38.7,0
76-100,UnitedKingdom,University of Bristol,null,47.9,61.8,76.7,35.4,0
76-100,Spain,University of Granada,null,57.1,59.7,69.1,27.4,0
76-100,UnitedStates,University of Illinois at Chicago,null,44.8,54.4,62.9,38.7,0
76-100,UnitedStates,"University of Maryland, College Park",null,50.1,59.9,68.5,35.4,0
76-100,Germany,University of Muenster,null,47.2,57.7,69.1,31.6,0
76-100,Italy,University of Padua,null,54.9,54.9,68.1,27.4,0
76-100,UnitedStates,University of Pennsylvania,null,39.3,60.6,61.8,41.8,0
76-100,Italy,University of Roma - Tor Vergata,null,49.7,62.1,68.8,27.4,0
76-100,Spain,University of Seville,null,60.3,59.5,74.9,22.4,0
76-100,China,Zhejiang University,null,68.3,52.5,55.7,22.4,0
101-150,Spain,Autonomous University of Barcelona,null,56.1,54.7,80.2,15.8,0
101-150,Spain,Autonomous University of Madrid,null,44.8,67.4,76.7,15.8,0
101-150,China,Beijing Normal University,null,62.7,63.7,53.9,0,0
101-150,Egypt,Beni Suef University,null,24,97.2,87.6,0,0
101-150,Germany,Bielefeld University,null,44.3,60.2,78.8,22.4,0
101-150,UnitedStates,Boston College,null,24.1,63.2,49.8,47.4,0
101-150,Sweden,Chalmers University of Technology,null,36.7,61.6,80,35.4,0
101-150,China,Chongqing University,null,52.7,57.7,38.7,27.4,0
101-150,China,Harbin Institute of Technology,null,67.3,64.8,48.7,0,0
101-150,UnitedKingdom,Heriot-Watt University,null,36.7,62.1,76.1,31.6,0
101-150,Italy,International School for Advanced Studies,null,37,75.8,68.9,15.8,0
101-150,Iran,Islamic Azad University,null,76,54.9,60.4,0,0
101-150,UnitedStates,Johns Hopkins University,null,33.6,64.1,59.6,38.7,0
101-150,Belgium,KU Leuven,null,48.7,65.9,78.9,15.8,0
101-150,China,Nanjing University,null,57.1,60.6,50.4,22.4,0
101-150,China,Nankai University,null,60.8,61.6,49.5,15.8,0
101-150,Mexico,National Autonomous University of Mexico,null,61.2,47,73.4,22.4,0
101-150,Spain,Polytechnic University of Catalonia,null,54.9,58.7,76.7,15.8,0
101-150,Italy,Polytechnic University of Turin,null,41.3,71.7,69.4,15.8,0
101-150,Australia,Queensland University of Technology,null,23.7,100,91.7,0,0
101-150,Russia,Saint Petersburg State University,null,55.4,52.5,62.5,27.4,0
101-150,China,Southeast University,null,57,71.5,50.8,0,0
101-150,China,Sun Yat-sen University,null,57,53.6,56.4,15.8,0
101-150,Germany,Technical University Munich,null,48.3,63.2,77.2,22.4,0
101-150,China-HongKong,The Hong Kong University of Science and Technology,null,30.5,67.2,78.6,31.6,0
101-150,Japan,The University of Tokyo,null,62.7,56.5,58.4,15.8,0
101-150,France,Universite Paris-Est Marne-la-Vallee,null,38.3,65.7,72.8,22.4,0
101-150,Canada,University of Alberta,null,47.2,58.2,80.3,15.8,0
101-150,France,University of Bordeaux,null,44.9,54.9,76.2,27.4,0
101-150,France,University of Caen Lower Normandy,null,28,63.2,65.6,35.4,0
101-150,UnitedStates,"University of California, Davis",null,38.1,70.7,64,22.4,0
101-150,Denmark,University of Copenhagen,null,38.3,63.4,79.7,27.4,0
101-150,Germany,University of Duisburg-Essen,null,38.8,57.7,74.4,31.6,0
101-150,Sweden,University of Gothenburg,null,32.4,61.4,77.4,31.6,0
101-150,Finland,University of Jyvaskyla,null,39.5,65.2,79.8,22.4,0
101-150,Germany,University of Kaiserslautern,null,39.4,59.5,68.5,27.4,0
101-150,Slovenia,University of Ljubljana,null,54.7,57.7,77.3,15.8,0
101-150,France,"University of LorraineAdded on September 15, 2018",null,54.3,50.9,77.9,22.4,0
101-150,UnitedStates,University of Missouri - Columbia,null,41.4,60.4,63.9,31.6,0
101-150,Italy,University of Milan - Bicocca,null,43.1,65.9,65.2,15.8,0
101-150,France,"University of Nice Sophia AntipolisAdded on September 15, 2018",null,39.6,59.2,71.3,35.4,0
101-150,UnitedStates,University of Notre Dame,null,41.5,60.2,64.2,27.4,0
101-150,Italy,University of Parma,null,32.3,86.9,59.7,15.8,0
101-150,UnitedStates,University of Southern California,null,35.8,62.1,62.5,31.6,0
101-150,UnitedStates,University of Virginia,null,32.9,62.1,66.7,31.6,0
101-150,Canada,University of Waterloo,null,61.2,49.7,77.1,15.8,0
101-150,Sweden,Uppsala University,null,41,64.1,79.3,22.4,0
101-150,UnitedStates,Vanderbilt University,null,38.1,59,69.2,27.4,0
101-150,Austria,Vienna University of Technology,null,47.3,60.6,78.5,15.8,0
101-150,Israel,Weizmann Institute of Science,null,44.2,56.2,78,31.6,0
101-150,China,Wuhan University,null,54.5,60.2,51.7,22.4,0
101-150,SouthKorea,Yeungnam University,null,25.1,97.4,78,0,0
151-200,Turkey,Cankaya University,null,34.1,83.6,95,0,0
151-200,China,Central South University,null,58.4,67.2,40.3,0,0
151-200,Czech,Charles University in Prague,null,66.9,51.4,75.4,0,0
151-200,UnitedStates,Cornell University,null,46.7,54.7,60.7,22.4,0
151-200,Netherlands,Eindhoven University of Technology,null,40.2,61.1,79.9,15.8,0
151-200,Hungary,Eotvos Lorand University,null,46.7,43.5,65.3,27.4,0
151-200,Germany,Free University Berlin,null,44.6,52,73.8,22.4,0
151-200,Poland,Jagiellonian University,null,55.4,52,67.3,15.8,0
151-200,Austria,Johannes Kepler University Linz,null,39.7,61.1,72.8,15.8,0
151-200,UnitedStates,Kent State University,null,34.8,63.7,74.6,22.4,0
151-200,SaudiArabia,King Saud University,null,51.6,67.4,80.4,0,0
151-200,China-Taiwan,National Taiwan University,null,43.4,53.6,69.8,22.4,0
151-200,Norway,Norwegian University of Science and Technology - NTNU,null,40.2,59.9,78.7,15.8,0
151-200,Japan,Osaka University,null,47.7,51.1,58.9,22.4,0
151-200,SouthKorea,Pohang University of Science and Technology,null,36.7,56.2,71.5,27.4,0
151-200,Italy,Polytechnic Institute of Milan,null,52.4,66.5,73.9,0,0
151-200,Canada,Simon Fraser University,null,39.3,54.1,79.9,22.4,0
151-200,China-HongKong,The Hong Kong Polytechnic University,null,43.9,76.6,64.1,0,0
151-200,Japan,Tohoku University,null,47.5,50.6,57.9,27.4,0
151-200,France,Universite de Lille,null,54.7,51.7,71.4,15.8,0
151-200,Belgium,Universit? libre de Bruxelles (ULB),null,39.5,58.7,87.7,15.8,0
151-200,UnitedStates,"University at Buffalo, the State University of New York",null,27,60.9,54.6,31.6,0
151-200,Netherlands,University of Amsterdam,null,37.1,56.5,75.2,22.4,0
151-200,UnitedStates,University of Arizona,null,32.9,56.7,71.2,31.6,0
151-200,Switzerland,University of Basel,null,26.6,69.5,83.4,22.4,0
151-200,Germany,University of Bayreuth,null,27.8,56.7,74.2,31.6,0
151-200,Italy,University of Bologna,null,49.8,55.7,70.9,15.8,0
151-200,Italy,University of Calabria,null,33.9,87.8,69.8,0,0
151-200,France,University of Cergy-Pontoise,null,31.4,64.5,61.3,22.4,0
151-200,Germany,University of Cologne,null,39,57.7,76.7,22.4,0
151-200,UnitedStates,University of Connecticut,null,35,60.6,58.4,27.4,0
151-200,Germany,University of Frankfurt,null,33.6,59.7,73.5,27.4,0
151-200,Germany,University of Hannover,null,39.7,55.5,72.3,22.4,0
151-200,UnitedStates,University of Iowa,null,43.4,55.7,72.7,22.4,0
151-200,UnitedStates,University of Kentucky,null,34.3,61.8,69.3,22.4,0
151-200,UnitedKingdom,University of Leeds,null,41.2,53.9,80.1,22.4,0
151-200,Germany,University of Leipzig,null,31.6,57.5,81.3,27.4,0
151-200,Portugal,University of Lisbon,null,66,52.2,76.7,0,0
151-200,UnitedStates,University of Massachusetts Amherst,null,31.4,63.4,70.6,22.4,0
151-200,UnitedStates,University of Miami,null,24.4,71.9,76.4,22.4,0
151-200,France,University of Montpellier,null,45,56.5,69.8,15.8,0
151-200,Canada,University of Montreal,null,41.3,54.7,75.1,22.4,0
151-200,Norway,University of Oslo,null,37.7,57.7,78.3,22.4,0
151-200,Italy,University of Perugia,null,34.7,82.9,69,0,0
151-200,Italy,University of Pisa,null,51.2,54.9,71,15.8,0
151-200,UnitedStates,"University of Pittsburgh, Pittsburgh Campus",null,40.9,59.7,64.9,22.4,0
151-200,Germany,University of Regensburg,null,34.2,58,71.6,27.4,0
151-200,Australia,University of Sydney,null,43.1,53.9,78.6,22.4,0
151-200,France,University of Toulouse 1,null,34,69.1,75.4,15.8,0
151-200,UnitedStates,Wayne State University,null,38.4,62.5,74.7,15.8,0
201-300,Denmark,Aarhus University,null,36.1,51.1,82.7,22.4,0
201-300,UnitedStates,Arizona State University,null,37.2,59.7,71.6,15.8,0
201-300,Romania,Babe?-Bolyai University,null,53.1,53.3,72.2,0,0
201-300,Israel,Bar-Ilan University,null,40.9,52,68.5,22.4,0
201-300,UnitedStates,Brandeis University,null,23.2,64.8,62.1,27.4,0
201-300,UnitedKingdom,Cardiff University,null,26.6,58.2,79.5,22.4,0
201-300,Chile,Catholic University of Chile,null,32.6,54.4,80.6,15.8,0
201-300,Belgium,Catholic University of Louvain,null,43,62.7,82.4,0,0
201-300,China,China University of Mining and Technology,null,42.8,71.5,38.9,0,0
201-300,Spain,Complutense University of Madrid,null,51.7,58,73.4,0,0
201-300,Australia,Curtin University,null,32.9,67.8,93.8,0,0
201-300,China,Dalian University of Technology,null,58.4,53.3,42.5,0,0
201-300,China,Donghua University,null,32.1,77.1,53.8,0,0
201-300,China,East China Normal University,null,57.2,52,50.1,0,0
201-300,France,Ecole des Ponts ParisTech,null,31.7,69.1,64.8,15.8,0
201-300,Brazil,Federal University of Rio de Janeiro,null,47.9,48.8,71.5,15.8,0
201-300,China-HongKong,Hong Kong Baptist University,null,36.7,75.8,54,0,0
201-300,China,Huazhong Normal University,null,45.5,63.9,49.9,0,0
201-300,China,Huazhong University of Science and Technology,null,50.8,63.4,49.9,0,0
201-300,India,Indian Statistical Institute,null,45.8,49.4,60.3,15.8,0
201-300,France,INSA Toulouse,null,33.3,64.3,74.1,15.8,0
201-300,France,Institut National Polytechnique de Grenoble,null,36.4,57.5,63.6,15.8,0
201-300,SaudiArabia,King Fahd University of Petroleum & Minerals,null,48.2,56.2,80,0,0
201-300,UnitedKingdom,King's College London,null,31.9,49.4,82.3,27.4,0
201-300,Japan,Kyushu University,null,43.4,52.5,49.5,15.8,0
201-300,China,Lanzhou University,null,52.5,67.4,44.3,0,0
201-300,Netherlands,Leiden University,null,31.9,49.4,84,27.4,0
201-300,UnitedStates,Louisiana State University - Baton Rouge,null,41,54.1,65.2,15.8,0
201-300,Canada,McMaster University,null,38.5,51.4,85.3,15.8,0
201-300,Japan,Nagoya University,null,41.4,52,56.7,22.4,0
201-300,UnitedKingdom,Newcastle University,null,23.4,57.2,81.5,22.4,0
201-300,Poland,Nicolaus Copernicus University,null,35.7,63.2,55.4,15.8,0
201-300,UnitedStates,North Carolina State University - Raleigh,null,44.5,52.2,67.2,15.8,0
201-300,UnitedStates,Northeastern University (Boston),null,31,52.2,55.2,31.6,0
201-300,Russia,Novosibirsk State University,null,52.4,50.3,48,15.8,0
201-300,Spain,Polytechnic University of Valencia,null,54.1,56,68.6,0,0
201-300,Pakistan,Quaid-i-Azam University,null,32.5,71.3,82.8,0,0
201-300,Netherlands,Radboud University Nijmegen,null,27.3,52,78.7,31.6,0
201-300,Italy,Roma Tre University,null,34.5,61.4,68.8,15.8,0
201-300,Germany,RWTH Aachen University,null,51.2,54.9,74.4,0,0
201-300,China,Shandong University,null,66.9,53.6,48.5,0,0
201-300,China,Shandong University of Science & Technology,null,28.1,93.9,35.5,0,0
201-300,China,Shanghai University,null,61.7,56.5,52.9,0,0
201-300,China,Sichuan University,null,57.6,48.2,42.7,15.8,0
201-300,SouthKorea,Sungkyunkwan University,null,42.1,70.3,79.9,0,0
201-300,Germany,Technical University Darmstadt,null,41,53.1,68.3,15.8,0
201-300,Germany,Technical University of Berlin,null,53.5,59.7,74.2,0,0
201-300,UnitedStates,Texas A&M University Kingsville,null,33.2,70.5,100,0,0
201-300,Australia,The Australian National University,null,44.3,62.5,81.9,0,0
201-300,NewZealand,The University of Auckland,null,41.6,54.1,87.8,15.8,0
201-300,UnitedStates,The University of Georgia,null,33.3,50.3,54.3,27.4,0
201-300,UnitedKingdom,The University of Glasgow,null,30,55.7,72.7,22.4,0
201-300,UnitedKingdom,The University of Manchester,null,44.2,51.4,73,15.8,0
201-300,Australia,The University of Western Australia,null,37.6,52.5,85.7,15.8,0
201-300,China,Tianjin Polytechnic University,null,44.2,63.4,55.6,0,0
201-300,Japan,Tokyo Institute of Technology,null,41.6,54.4,62.9,15.8,0
201-300,Brazil,Universidade Federal da Paraiba,null,29.4,64.5,61.4,15.8,0
201-300,Italy,Universita Mediterranea di Reggio Calabria,null,27.2,87.4,78.9,0,0
201-300,France,Universite Toulouse Jean Jaures,null,32.3,65,74.3,15.8,0
201-300,UnitedKingdom,University of Aberdeen,null,32,57.5,79.4,15.8,0
201-300,Spain,University of Barcelona,null,41.8,50.9,68.8,22.4,0
201-300,Serbia,University of Belgrade,null,48.4,57,73.4,0,0
201-300,Norway,University of Bergen,null,39,65.9,86.7,0,0
201-300,Germany,University of Bochum,null,28.9,57.2,73,27.4,0
201-300,Argentina,University of Buenos Aires,null,43.4,49.4,69.2,15.8,0
201-300,France,University of Burgundy,null,32.7,53.3,76.1,22.4,0
201-300,UnitedStates,"University of California, Santa Barbara",null,37,63.2,65.1,15.8,0
201-300,UnitedStates,"University of California, Santa Cruz",null,24.2,66.1,73.1,15.8,0
201-300,Chile,University of Chile,null,45.2,63.7,82.6,0,0
201-300,China,University of Electronic Science and Technology of China,null,50.8,62.3,45.1,0,0
201-300,Germany,University of Erlangen-Nuremberg,null,40.4,66.1,74.8,0,0
201-300,Italy,University of Florence,null,49.8,56.7,69.4,0,0
201-300,Germany,University of Freiburg,null,35,61.6,68,15.8,0
201-300,Germany,University of Goettingen,null,36.4,61.8,71.1,15.8,0
201-300,Israel,University of Haifa,null,40.6,50.3,78.2,15.8,0
201-300,Germany,University of Hamburg,null,37.5,49.4,65,27.4,0
201-300,UnitedStates,University of Kansas,null,31.2,59.5,72.1,15.8,0
201-300,UnitedKingdom,University of Liverpool,null,35.4,45.5,82.6,22.4,0
201-300,France,University of Nantes,null,34.3,50.3,71.2,22.4,0
201-300,Italy,University of Naples Federico II,null,46.4,62.7,58.7,0,0
201-300,UnitedStates,University of Nebraska - Lincoln,null,35.4,59.9,69.2,15.8,0
201-300,UnitedStates,University of North Carolina at Chapel Hill,null,34.2,59.7,65.1,15.8,0
201-300,UnitedStates,University of Oregon,null,35.5,60.2,62.4,15.8,0
201-300,Canada,University of Ottawa,null,36.9,49.1,68.6,22.4,0
201-300,Italy,University of Palermo,null,38,71.5,78.2,0,0
201-300,Italy,University of Pavia,null,41.6,73.7,73.6,0,0
201-300,Spain,University of Santiago Compostela,null,37.2,67.8,76.8,0,0
201-300,UnitedStates,University of South Florida,null,32.1,76.4,68.2,0,0
201-300,France,University of Strasbourg,null,42.8,47.6,67,22.4,0
201-300,UnitedKingdom,University of Surrey,null,25.6,54.7,75.2,27.4,0
201-300,Spain,University of the Basque Country,null,37.2,53.3,76.2,15.8,0
201-300,Germany,University of Tuebingen,null,32.2,54.1,68.4,22.4,0
201-300,Italy,University of Turin,null,40.9,59.2,61.3,15.8,0
201-300,Spain,University of Valencia,null,43.8,50,80.5,15.8,0
201-300,Canada,University of Victoria,null,43.2,68,85.2,0,0
201-300,Germany,University of Wuppertal,null,31.7,53.3,71,22.4,0
201-300,Italy,Verona University,null,24.8,80.9,77.3,0,0
201-300,China,Xiamen University,null,57.8,59.5,49.9,0,0
201-300,China,Xian Jiao Tong University,null,54.4,54.9,48.5,0,0
201-300,China,Zhejiang Normal University,null,51.9,55.7,55.9,0,0
301-400,Finland,Aalto University,null,38.2,62.3,77.7,0,0
301-400,Poland,AGH University of Science and Technology,null,40.6,57.2,67.4,0,0
301-400,India,Aligarh Muslim University,null,40.9,56.7,80.5,0,0
301-400,Iran,Amirkabir University of Technology,null,42.7,60.4,44.3,0,0
301-400,India,Anna University,null,26.8,77.3,69.4,0,0
301-400,Turkey,Atilim University,null,37.3,64.5,83.3,0,0
301-400,China,Beihang University,null,47.8,58.5,47.7,0,0
301-400,China,Beijing Institute of Technology,null,47.4,54.1,51.6,0,0
301-400,China,Beijing Jiaotong University,null,42,61.4,54.5,0,0
301-400,Israel,Ben-Gurion University of the Negev,null,50.1,51.7,74.6,0,0
301-400,UnitedStates,Brigham Young University,null,32.7,51.7,61.6,15.8,0
301-400,Hungary,Budapest University of Technology and Economics,null,36.4,46.4,58,22.4,0
301-400,Spain,Carlos III University of Madrid,null,40.1,62.5,76.8,0,0
301-400,UnitedStates,Carnegie Mellon University,null,47.4,55.7,65.2,0,0
301-400,UnitedStates,City University of New York City College,null,24.4,52.2,67.1,22.4,0
301-400,UnitedStates,Clemson University,null,31,54.9,57.1,15.8,0
301-400,Slovakia,Comenius University in Bratislava,null,31.7,64.5,79.7,0,0
301-400,Canada,Concordia University,null,27.8,54.1,80,15.8,0
301-400,UnitedKingdom,Durham University,null,35.9,50.3,75.3,15.8,0
301-400,UnitedStates,Emory University,null,32.8,55.7,65.1,15.8,0
301-400,Brazil,Fluminense Federal University,null,29.1,52.5,67.6,22.4,0
301-400,Belgium,Ghent University,null,51.3,48.2,70.9,0,0
301-400,China,Guizhou University,null,26.1,78.8,52.6,0,0
301-400,SouthKorea,Gyeongsang National University,null,44.4,50.9,90.4,0,0
301-400,Germany,Heidelberg University,null,37.9,46.7,61.9,15.8,0
301-400,China,Henan Polytech University,null,43,62.5,40.4,0,0
301-400,China,Hunan University,null,46.2,57.5,44.5,0,0
301-400,India,Indian Institute of Science,null,36.7,46.7,59.7,15.8,0
301-400,China,Jilin University,null,53.1,50.6,39.3,0,0
301-400,SaudiArabia,King Abdullah University of Science and Technology,null,33,67.6,90.4,0,0
301-400,Canada,Laval University,null,25.7,53.1,84.8,15.8,0
301-400,Sweden,Linkoping University,null,31.3,49.7,80.8,15.8,0
301-400,Egypt,Mansoura University,null,34.4,60.2,79,0,0
301-400,Canada,Memorial University of Newfoundland,null,34.7,67,84,0,0
301-400,China,Nanjing Normal University,null,53.7,49.4,39.1,0,0
301-400,China,Nanjing University of Science and Technology,null,36.5,65.7,54.6,0,0
301-400,Singapore,Nanyang Technological University,null,46.2,50.9,81.2,0,0
301-400,China-Taiwan,National Sun Yat-Sen University,null,33.8,59,87.5,0,0
301-400,Greece,National Technical University of Athens,null,40.7,60.6,83,0,0
301-400,China,Northeastern University (Shenyang),null,39.9,63.9,46,0,0
301-400,China,Northwestern Polytechnical University,null,40.5,59.7,51.6,0,0
301-400,France,Paris 12 Val de Marne University,null,33.7,65.4,75.7,0,0
301-400,Italy,Politecnico di Bari,null,33.7,69.9,62.7,0,0
301-400,Spain,Polytechnic University of Madrid,null,35.1,54.4,62.1,15.8,0
301-400,Canada,Queen's University,null,27.6,47.6,76.8,27.4,0
301-400,China,Qufu Normal University,null,41.3,61.1,50.5,0,0
301-400,Germany,Saarland University,null,30.6,51.4,66.3,15.8,0
301-400,Italy,Seconda Universita degli Studi di Napoli,null,25.6,60.2,63.8,15.8,0
301-400,China,Shanghai Normal University,null,47.4,53.3,57.2,0,0
301-400,China,South China Normal University,null,56.6,51.4,37.5,0,0
301-400,China,South China University of Technology,null,41.9,61.1,49.6,0,0
301-400,China,Southwest University,null,44.9,62.1,47,0,0
301-400,UnitedStates,Syracuse University,null,27.3,58.5,74.8,15.8,0
301-400,Denmark,Technical University of Denmark,null,31,68.4,83.9,0,0
301-400,UnitedStates,Temple University,null,27.6,55.7,63.4,15.8,0
301-400,Canada,The University of Calgary,null,37.6,44.5,81.3,15.8,0
301-400,China,Tianjin University,null,50.7,54.4,39.8,0,0
301-400,China,Tongji University,null,51.1,57,42.9,0,0
301-400,UnitedStates,Tufts University,null,24.3,56.5,75.1,15.8,0
301-400,Spain,Universidad de Cadiz,null,30.8,56,55.5,15.8,0
301-400,Chile,Universidad Tecnica Federico Santa Maria,null,27.2,67.4,82.7,0,0
301-400,Portugal,University of Aveiro,null,40.6,58.5,80.2,0,0
301-400,Italy,University of Bari,null,34.7,66.5,63.4,0,0
301-400,UnitedKingdom,University of Birmingham,null,41.8,55.5,77.3,0,0
301-400,Brazil,University of Bras?lia,null,34.6,48.5,63,15.8,0
301-400,Romania,University of Bucharest,null,56,47,66.8,0,0
301-400,Italy,University of Cagliari,null,28.9,70.3,69.9,0,0
301-400,Brazil,University of Campinas,null,48.7,55.5,61.1,0,0
301-400,Italy,University of Catania,null,39.3,61.4,64.4,0,0
301-400,Portugal,University of Coimbra,null,44.3,50.3,80.8,0,0
