World rank,Country,Institution,Total Score,PUB,CNCI,IC,TOP,AWARD
mathematics,2019,,,,,,,
1,UnitedStates,Princeton University,362.9,60,90,64.6,100,100
2,France,Sorbonne University,311.8,94.1,75.6,71.2,95.7,32.2
3,UnitedStates,New York University,306.3,53.3,94.4,68.2,70.7,74.3
4,UnitedStates,Stanford University,304.9,60.5,93.1,61,86.6,52.5
5,France,University of Paris-Sud (Paris 11),299.5,66.8,71.9,69.5,72.6,74.3
6,UnitedKingdom,University of Oxford,293,71.1,77.8,73.3,70.7,58.7
7,UnitedStates,Massachusetts Institute of Technology (MIT),288.8,72.2,86.4,65.2,85,32.2
8,UnitedKingdom,University of Cambridge,287.6,60.4,85,75.7,74.5,52.5
9,UnitedStates,"University of California, Los Angeles",278.3,58.1,85,66.3,76.4,45.5
10,UnitedKingdom,University of Warwick,266.1,57.8,77.8,78.3,62.4,52.5
11,UnitedStates,"University of California, Berkeley",264.9,65.6,84.2,62.5,76.4,26.3
12,UnitedStates,Harvard University,259.6,44.5,85.2,63.7,79.9,37.1
13,UnitedStates,University of Wisconsin - Madison,257.3,52.1,83.7,68,70.7,37.1
14,UnitedStates,The University of Texas at Austin,251,57.9,84.6,64.8,50,45.5
15,UnitedStates,Stony Brook University,248.8,40.9,79.9,65.7,62.4,52.5
16,UnitedStates,"Rutgers, The State University of New Jersey - New Brunswick",238.5,58.2,78.4,74.3,50,37.1
17,UnitedStates,University of Chicago,236.8,52.4,89.6,65.7,81.6,0
18,UnitedKingdom,Imperial College London,227.5,61.6,85.3,80.6,64.5,0
19,UnitedStates,Columbia University,225.4,50.2,91.5,64.8,70.7,0
20,Japan,Kyoto University,224.8,60.4,68.6,59.2,57.7,26.3
21,Israel,The Hebrew University of Jerusalem,224.5,48.7,65.7,78,62.4,32.2
22,Switzerland,Swiss Federal Institute of Technology Zurich,221.3,65.2,77.6,80.8,62.4,0
23,Sweden,KTH Royal Institute of Technology,221,41.9,73.7,79,44.1,45.5
24,UnitedStates,"University of California, San Diego",218.8,51.3,77.7,67.7,50,26.3
25,UnitedStates,University of Illinois at Urbana-Champaign,217.1,65.1,67.8,68.7,44.1,26.3
26,UnitedKingdom,The University of Edinburgh,214.6,47.2,82.7,76.1,37.3,32.2
27,France,Ecole Normale Superieure - Lyon,213.7,35.5,76.8,69.9,55.3,32.2
28,France,Paris Dauphine University (Paris 9),213.6,40,85.1,70.5,37.3,37.1
29,France,University Paris Diderot - Paris 7,212.6,64.6,75.7,72.8,57.7,0
30,Germany,University of Bonn,209.9,56.2,78.9,73.2,60.1,0
31,SaudiArabia,King Abdulaziz University,209.5,100,90.7,93.9,0,0
32,France,Ecole Normale Superieure - Paris,206.2,40.7,92.1,77.8,57.7,0
33,UnitedStates,Texas A&M University,201.5,59.8,80.4,70.5,47.1,0
34,Switzerland,Swiss Federal Institute of Technology Lausanne,201.4,54.7,79.9,84.2,50,0
35,UnitedStates,"University of Minnesota, Twin Cities",201.2,57.3,84.4,61.5,47.1,0
36,UnitedStates,Northwestern University,200.9,38.8,83.8,58.2,66.7,0
37,UnitedStates,Rice University,200.7,40.5,92.1,64.3,55.3,0
38,UnitedStates,University of Michigan-Ann Arbor,200.3,62,71,60.2,55.3,0
39,Austria,University of Vienna,197.5,64.8,76.4,77.8,40.8,0
40,Canada,University of Toronto,197.1,56.7,69.6,77.6,55.3,0
41,Canada,University of British Columbia,193.5,55,78,82.1,44.1,0
42,UnitedStates,Brown University,193.4,46.9,83.7,64,50,0
42,France,Paul Sabatier University (Toulouse 3),193.4,50.3,75.8,73.1,52.7,0
44,China,Peking University,193.1,63.6,74.2,56,44.1,0
45,UnitedStates,Georgia Institute of Technology,191.8,56.9,77,69.3,44.1,0
46,UnitedStates,"University of California, Irvine",191.4,43.2,79.3,68,55.3,0
47,UnitedStates,University of Washington,191.3,48.4,79.7,65.6,50,0
48,Switzerland,University of Zurich,190.6,38.3,83.6,80,52.7,0
49,Singapore,National University of Singapore,189.8,49.3,73,87.7,50,0
50,UnitedStates,The Ohio State University - Columbus,188.1,50,75,65.1,50,0
51-75,France,Aix Marseille University,null,64.2,71.7,76.8,28.9,0
51-75,UnitedStates,California Institute of Technology,null,40.1,82.5,66.6,50,0
51-75,France,Ecole Normale Super Cachan,null,26.6,68.5,74.8,16.7,52.5
51-75,France,Ecole Polytechnique,null,54.5,77.5,74,40.8,0
51-75,China,Fudan University,null,61.9,72,60.8,33.3,0
51-75,Germany,Humboldt University of Berlin,null,46.1,78.1,76.9,40.8,0
51-75,UnitedStates,Michigan State University,null,45.5,85.4,72.2,28.9,0
51-75,UnitedStates,Pennsylvania State University - University Park,null,57,71.5,69,37.3,0
51-75,UnitedStates,Purdue University - West Lafayette,null,56.3,76.3,67.7,33.3,0
51-75,Italy,Sapienza University of Rome,null,64.4,79.6,72.2,23.6,0
51-75,China,Tsinghua University,null,61.8,67.5,61,33.3,0
51-75,France,Universit? Grenoble Alpes,null,55.2,72.1,66.1,33.3,0
51-75,UnitedKingdom,University College London,null,40.3,82.2,80.6,37.3,0
51-75,UnitedStates,University of Florida,null,44.3,69.5,66.3,16.7,32.2
51-75,Switzerland,University of Geneva,null,31.1,68,80.2,16.7,45.5
51-75,UnitedStates,"University of Maryland, College Park",null,49.5,76.3,68.8,47.1,0
51-75,Italy,University of Milan,null,51.4,93.8,75.6,23.6,0
51-75,Germany,University of Muenster,null,45.4,74.2,69.4,44.1,0
51-75,France,University of Nice Sophia Antipolis,null,41.7,80.3,70.6,47.1,0
51-75,Italy,University of Pavia,null,40.2,98.5,73.9,23.6,0
51-75,Brazil,University of Sao Paulo,null,67,64.3,76.3,33.3,0
51-75,China,University of Science and Technology of China,null,57,74.7,60.8,33.3,0
51-75,UnitedStates,University of Utah,null,38.7,82,59.3,47.1,0
51-75,Poland,University of Warsaw,null,61,65.2,70.4,33.3,0
51-75,UnitedStates,Yale University,null,36.7,79.3,60.2,57.7,0
76-100,Spain,Autonomous University of Madrid,null,44.8,82.1,78,23.6,0
76-100,UnitedStates,Boston College,null,25.3,81.8,54.6,52.7,0
76-100,China-HongKong,City University of Hong Kong,null,44.5,96.5,69,16.7,0
76-100,UnitedStates,Indiana University Bloomington,null,46.2,68.3,70.6,44.1,0
76-100,Italy,International School for Advanced Studies,null,36.7,94.5,71.1,23.6,0
76-100,Canada,McGill University,null,42.8,72.6,81,37.3,0
76-100,Russia,Moscow State University,null,89.4,55.1,45.8,16.7,0
76-100,China,Nankai University,null,59,77.3,50.9,23.6,0
76-100,Russia,National Research University Higher School of Economics,null,59.1,65.1,62.9,28.9,0
76-100,France,Paris 13 University,null,41.1,69,74.9,47.1,0
76-100,Spain,Polytechnic University of Catalonia,null,51.6,73.4,77.1,28.9,0
76-100,Italy,Scuola Normale Superiore - Pisa,null,34,92.8,73.1,28.9,0
76-100,China,Shanghai Jiao Tong University,null,62.1,75.9,63.3,16.7,0
76-100,Germany,Technical University Munich,null,50.6,78.8,74.7,28.9,0
76-100,Israel,Tel Aviv University,null,59.9,64.7,73.1,33.3,0
76-100,China-HongKong,The Chinese University of Hong Kong,null,48.1,88.5,73.8,16.7,0
76-100,Australia,The University of New South Wales,null,52.4,76.3,81,23.6,0
76-100,Japan,The University of Tokyo,null,62.1,69.2,58.4,28.9,0
76-100,UnitedKingdom,University of Bristol,null,47.2,75,75,33.3,0
76-100,Denmark,University of Copenhagen,null,38,78.7,79.4,37.3,0
76-100,Spain,University of Granada,null,54.8,73.5,70.5,28.9,0
76-100,Finland,University of Helsinki,null,45.4,70.7,81,37.3,0
76-100,Germany,University of Paderborn,null,33.4,100,74.6,23.6,0
76-100,France,University of Rennes 1,null,44.8,71.8,68.2,37.3,0
76-100,Israel,Weizmann Institute of Science,null,43.6,73.3,77.6,40.8,0
101-150,Germany,Bielefeld University,null,42.8,77.6,79,23.6,0
101-150,Turkey,Cankaya University,null,33.5,100,96.1,0,0
101-150,UnitedStates,Carnegie Mellon University,null,47.6,72.2,64.2,23.6,0
101-150,Belgium,Catholic University of Louvain,null,43.6,79.7,80.6,23.6,0
101-150,China,Central South University,null,58,87.4,40.8,0,0
101-150,Sweden,Chalmers University of Technology,null,37.7,71.5,80.3,33.3,0
101-150,Czech,Charles University in Prague,null,63.7,61.5,74.7,16.7,0
101-150,France,Claude Bernard University Lyon 1,null,55.9,65.9,72.8,28.9,0
101-150,Spain,Complutense University of Madrid,null,50.3,71.6,72.7,16.7,0
101-150,UnitedStates,Cornell University,null,44,68.9,63.8,28.9,0
101-150,France,Ecole Centrale Lyon,null,51.1,67.1,72.2,23.6,0
101-150,China,Harbin Institute of Technology,null,63.7,83.8,51.2,0,0
101-150,UnitedKingdom,Heriot-Watt University,null,35.2,78,77.8,28.9,0
101-150,France,INSA Lyon,null,56.3,68,71.5,23.6,0
101-150,France,Jean Monnet University,null,51.1,66.5,72,23.6,0
101-150,UnitedStates,Johns Hopkins University,null,32.9,79.6,65.1,37.3,0
101-150,Belgium,KU Leuven,null,47,79.7,79.4,16.7,0
101-150,Mexico,National Autonomous University of Mexico,null,59.1,56.1,72.3,23.6,0
101-150,France,Paris 12 Val de Marne University,null,32.5,81.7,75.1,23.6,0
101-150,SouthKorea,Seoul National University,null,49.9,74.4,66.4,23.6,0
101-150,China,Southeast University,null,55.7,93.6,54,0,0
101-150,China,Sun Yat-sen University,null,56.1,67.7,58.1,16.7,0
101-150,Israel,Technion-Israel Institute of Technology,null,60.2,67.9,69,23.6,0
101-150,China-HongKong,The Hong Kong Polytechnic University,null,42.1,98.7,65.4,0,0
101-150,China-HongKong,The Hong Kong University of Science and Technology,null,30.7,87.3,78.6,28.9,0
101-150,France,Universite Paris-Est Marne-la-Vallee,null,37.3,78.7,74.7,28.9,0
101-150,Canada,University of Alberta,null,46.8,73.2,80.2,16.7,0
101-150,France,University of Bordeaux,null,40.2,68.9,78.5,28.9,0
101-150,UnitedStates,"University of California, Davis",null,37.7,87.1,67.9,23.6,0
101-150,Chile,University of Chile,null,44.5,76.9,82.6,16.7,0
101-150,Germany,University of Duisburg-Essen,null,38.1,74.1,74.7,28.9,0
101-150,UnitedStates,University of Illinois at Chicago,null,44.6,70.9,64,33.3,0
101-150,Finland,University of Jyvaskyla,null,39,78.8,79.2,28.9,0
101-150,Slovenia,University of Ljubljana,null,51.8,74.8,76.6,16.7,0
101-150,France,University of Lorraine,null,54.3,62.8,77.6,23.6,0
101-150,Italy,University of Milan - Bicocca,null,41.8,85.3,63.5,16.7,0
101-150,UnitedStates,University of Missouri - Columbia,null,39.3,74.1,63.3,33.3,0
101-150,UnitedStates,University of Notre Dame,null,42,73.2,64.6,28.9,0
101-150,Italy,University of Parma,null,30.5,97.7,56.8,16.7,0
101-150,UnitedStates,University of Pennsylvania,null,36.4,77.6,63.6,28.9,0
101-150,Italy,University of Roma - Tor Vergata,null,48.8,73.4,69.5,23.6,0
101-150,Spain,University of Seville,null,57.5,70.6,75.3,16.7,0
101-150,UnitedStates,University of Southern California,null,35.9,79.6,62.8,28.9,0
101-150,France,University of Toulouse 1,null,31.7,88.6,74.6,23.6,0
101-150,UnitedStates,University of Virginia,null,32.1,79.3,68,33.3,0
101-150,Canada,University of Waterloo,null,60.2,62.9,78.7,16.7,0
101-150,Sweden,Uppsala University,null,40,83.4,81.9,16.7,0
101-150,Austria,Vienna University of Technology,null,47.9,71.3,78.8,23.6,0
101-150,China,Wuhan University,null,53.5,75.7,52.5,23.6,0
101-150,China,Zhejiang University,null,64,65.9,54.4,23.6,0
151-200,Finland,Aalto University,null,37.4,78.6,80.5,16.7,0
151-200,UnitedStates,Arizona State University,null,36.7,78.3,73.5,16.7,0
151-200,China,Beijing Normal University,null,61.3,76.5,57,0,0
151-200,Spain,Carlos III University of Madrid,null,39,75.5,77.8,16.7,0
151-200,China,China University of Mining and Technology - Xuzhou,null,43.6,100,41.8,0,0
151-200,China,Chongqing University,null,49.9,69.8,41.7,23.6,0
151-200,Australia,Curtin University,null,32.5,100,94,0,0
151-200,Germany,Free University Berlin,null,44.1,65.8,73.5,23.6,0
151-200,France,INSA Toulouse,null,30.8,81.4,72.5,23.6,0
151-200,Iran,Islamic Azad University,null,72.2,67.5,60.2,0,0
151-200,Poland,Jagiellonian University,null,53.6,68,68.6,16.7,0
151-200,Austria,Johannes Kepler University Linz,null,39.7,73.7,74.2,16.7,0
151-200,UnitedStates,Kent State University,null,33.8,75.7,76.7,23.6,0
151-200,SaudiArabia,King Saud University,null,49.2,80.1,82.8,0,0
151-200,UnitedStates,Louisiana State University - Baton Rouge,null,39.6,68.8,65.4,28.9,0
151-200,Norway,Norwegian University of Science and Technology - NTNU,null,39.9,75.2,78.2,16.7,0
151-200,Japan,Osaka University,null,47.1,64.2,58.7,23.6,0
151-200,SouthKorea,Pohang University of Science and Technology,null,34.2,71.2,71.7,28.9,0
151-200,Italy,Polytechnic Institute of Milan,null,52.1,80.1,74.5,0,0
151-200,China,Qufu Normal University,null,41.2,100,51.2,0,0
151-200,Netherlands,Radboud University Nijmegen,null,27.3,74.8,78.2,33.3,0
151-200,Russia,Saint Petersburg State University,null,57,61.2,63.2,16.7,0
151-200,UnitedKingdom,The University of Glasgow,null,26.9,76.5,76.6,28.9,0
151-200,France,Universite Toulouse Jean Jaures,null,29.8,82.6,74,23.6,0
151-200,UnitedKingdom,University of Aberdeen,null,31.6,77,77.3,23.6,0
151-200,UnitedStates,University of Arizona,null,30.7,73.9,68.4,28.9,0
151-200,Switzerland,University of Basel,null,26.8,85.5,80.8,23.6,0
151-200,Germany,University of Bayreuth,null,26,73.1,74.3,33.3,0
151-200,France,University of Caen Lower Normandy,null,26.5,78,68.7,28.9,0
151-200,Italy,University of Calabria,null,33,100,70.3,0,0
151-200,UnitedStates,"University of California, Santa Barbara",null,36.2,73.5,63.8,23.6,0
151-200,France,University of Cergy-Pontoise,null,28.6,82.2,60.6,23.6,0
151-200,Germany,University of Cologne,null,37.7,70,77.4,23.6,0
151-200,UnitedStates,University of Connecticut,null,34.6,75.9,62.3,28.9,0
151-200,China,University of Electronic Science and Technology of China,null,48.7,89.9,49.9,0,0
151-200,Germany,University of Frankfurt,null,33.2,71.7,73.4,28.9,0
151-200,Sweden,University of Gothenburg,null,32.5,74.4,77.7,28.9,0
151-200,Germany,University of Kaiserslautern,null,39.2,74.6,69.6,23.6,0
151-200,Italy,University of L'Aquila,null,30.5,87.1,72,16.7,0
151-200,Germany,University of Leipzig,null,29.3,74.3,79.3,28.9,0
151-200,UnitedStates,University of Massachusetts Amherst,null,30.6,77.4,72.7,23.6,0
151-200,Canada,University of Montreal,null,41.3,68.6,75.9,23.6,0
151-200,Italy,University of Padua,null,52.4,67.6,69.7,16.7,0
151-200,Italy,University of Perugia,null,34.1,100,69.9,0,0
151-200,Italy,University of Pisa,null,47.7,71.1,70.7,16.7,0
151-200,UnitedStates,"University of Pittsburgh, Pittsburgh Campus",null,40.9,75.7,68,16.7,0
151-200,Germany,University of Regensburg,null,35.5,70.3,71.5,28.9,0
151-200,Canada,University of Victoria,null,40.5,87.1,88.1,0,0
151-200,UnitedStates,Vanderbilt University,null,37.6,71.6,66.6,23.6,0
151-200,UnitedStates,Wayne State University,null,35.8,80.2,79.7,16.7,0
201-300,Spain,Autonomous University of Barcelona,null,53.6,67,81.1,0,0
201-300,Israel,Bar-Ilan University,null,40.3,65.3,67.2,23.6,0
201-300,Egypt,Beni-Suef University,null,23.4,100,85.2,0,0
201-300,UnitedStates,Brandeis University,null,21.3,77.1,66.3,23.6,0
201-300,China,Capital Normal University,null,40.4,66.2,55.1,16.7,0
201-300,UnitedKingdom,Cardiff University,null,26,71.6,83.2,23.6,0
201-300,Chile,Catholic University of Chile,null,33.2,70.4,81.7,16.7,0
201-300,China-Taiwan,China Medical University (Taichung),null,32.6,85.7,96.9,0,0
201-300,UnitedStates,Clemson University,null,30.7,75.1,58.1,16.7,0
201-300,Netherlands,Delft University of Technology,null,33.6,69.5,82.6,16.7,0
201-300,China,East China Normal University,null,56.1,68.8,55.3,0,0
201-300,Netherlands,Eindhoven University of Technology,null,37.1,67.8,80.1,16.7,0
201-300,Brazil,Federal University of Rio de Janeiro,null,46.8,60.4,72.5,16.7,0
201-300,China,Guizhou University,null,25.2,100,57.4,0,0
201-300,China-HongKong,Hong Kong Baptist University,null,35.7,89.9,57.3,0,0
201-300,China,Huazhong Normal University,null,44.7,80.3,53.3,0,0
201-300,China,Huazhong University of Science and Technology,null,51.4,79.1,51.2,0,0
201-300,India,Indian Statistical Institute,null,45.4,62.6,60.6,16.7,0
201-300,UnitedKingdom,King's College London,null,33,60,78.5,33.3,0
201-300,Japan,Kyushu University,null,42,68.6,49.2,23.6,0
201-300,China,Lanzhou University,null,51.7,82.9,44.3,0,0
201-300,Canada,McMaster University,null,36.2,65.3,86.5,16.7,0
201-300,Canada,Memorial University of Newfoundland,null,35,83.6,80.9,0,0
201-300,Japan,Nagoya University,null,40.6,64.9,56.5,23.6,0
201-300,China,Nanjing University,null,55.8,74.3,50.2,0,0
201-300,China-Taiwan,National Taiwan University,null,41.8,64,70.9,16.7,0
201-300,Greece,National Technical University of Athens,null,40.1,78.3,85.3,0,0
201-300,Poland,Nicolaus Copernicus University,null,33.2,80.3,58.5,16.7,0
201-300,UnitedStates,North Carolina State University - Raleigh,null,42,66.6,70.3,16.7,0
201-300,UnitedStates,Northeastern University (Boston),null,30.8,71.9,58.4,28.9,0
201-300,Russia,Novosibirsk State University,null,53,61.1,50.4,16.7,0
201-300,Italy,Polytechnic University of Turin,null,39.3,87.4,69.4,0,0
201-300,Spain,Polytechnic University of Valencia,null,53.3,68.8,68.8,0,0
201-300,Pakistan,Quaid-i-Azam University,null,31.6,94.4,83.3,0,0
201-300,Canada,Queen's University,null,28.6,60.5,79,28.9,0
201-300,Australia,Queensland University of Technology,null,21.8,100,90.9,0,0
201-300,Italy,Roma Tre University,null,33.4,74.6,69,16.7,0
201-300,China,Shandong University,null,62,69.2,51.5,0,0
201-300,China,Shandong University of Science & Technology,null,30.1,100,43.7,0,0
201-300,China,Shanghai University,null,57.5,70.3,47.1,0,0
201-300,China,Sichuan University,null,55.3,60.8,45,16.7,0
201-300,Canada,Simon Fraser University,null,37.3,69.4,81.6,16.7,0
201-300,SouthKorea,Sungkyunkwan University,null,41.6,80.5,80.2,0,0
201-300,UnitedKingdom,Swansea University,null,25.7,92.6,83.9,0,0
201-300,Germany,Technical University Darmstadt,null,40,64.8,67.4,16.7,0
201-300,Germany,Technical University of Berlin,null,53,71.7,74.9,0,0
201-300,Australia,The Australian National University,null,42.6,78.5,82.1,0,0
201-300,NewZealand,The University of Auckland,null,39.6,67.2,90.1,16.7,0
201-300,UnitedStates,The University of Georgia,null,33.4,67.1,54.1,23.6,0
201-300,France,The University of Lille,null,51.9,60.6,70.6,16.7,0
201-300,UnitedKingdom,The University of Manchester,null,42.4,70.4,74.5,16.7,0
201-300,Australia,The University of Queensland,null,24.9,76.9,76.9,16.7,0
201-300,Australia,The University of Western Australia,null,35.1,68.7,85.3,16.7,0
201-300,China,Tianjin Polytechnic University,null,43,79.1,69.9,0,0
201-300,China,Tianjin University,null,50.2,68.1,45.7,16.7,0
201-300,Japan,Tohoku University,null,46.3,61.5,58.5,23.6,0
201-300,Japan,Tokyo Institute of Technology,null,40.6,67.9,59.9,16.7,0
201-300,Brazil,Universidade Federal Da Paraiba,null,29.9,77.6,60.6,16.7,0
201-300,Italy,Universita Mediterranea di Reggio Calabria,null,26.6,100,80.9,0,0
201-300,Belgium,Universit? libre de Bruxelles (ULB),null,38.5,68.8,88.8,16.7,0
201-300,UnitedStates,"University at Buffalo, the State University of New York",null,27.3,72.9,51.9,23.6,0
201-300,Netherlands,University of Amsterdam,null,36.3,67.3,76.7,23.6,0
201-300,Spain,University of Barcelona,null,39.4,66.2,70.6,16.7,0
201-300,UnitedKingdom,University of Bath,null,34.9,70.3,79.5,16.7,0
201-300,Germany,University of Bochum,null,29.7,67.3,72.8,28.9,0
201-300,France,University of Burgundy,null,34,61.7,73.7,23.6,0
201-300,UnitedStates,"University of California, Santa Cruz",null,23.4,80,74.2,16.7,0
201-300,Chile,University of Concepcion,null,29.7,71.9,88.1,16.7,0
201-300,Germany,University of Erlangen-Nuremberg,null,40.1,82.9,75.5,0,0
201-300,Italy,University of Florence,null,46.4,76.8,72.7,0,0
201-300,Germany,University of Freiburg,null,35.5,72.9,67.4,16.7,0
201-300,Germany,University of Hamburg,null,37,63.9,66.4,28.9,0
201-300,Germany,University of Hannover,null,39.9,67,74.8,16.7,0
201-300,UnitedStates,University of Iowa,null,41.4,67.5,73.7,16.7,0
201-300,UnitedStates,University of Kansas,null,31.4,70.9,75.3,16.7,0
201-300,UnitedKingdom,University of Leeds,null,37.9,66.7,81.8,16.7,0
201-300,Portugal,University of Lisbon,null,63.5,63.4,77.4,0,0
201-300,UnitedKingdom,University of Liverpool,null,35.5,61.1,81.8,23.6,0
201-300,Slovenia,University of Maribor,null,35.5,85.1,77.2,0,0
201-300,UnitedStates,University of Miami,null,24.5,85.8,77.9,16.7,0
201-300,France,University of Nantes,null,32.9,66.2,69.5,23.6,0
201-300,Italy,University of Naples Federico II,null,45.2,79.1,60.4,0,0
201-300,UnitedStates,University of Nebraska - Lincoln,null,34.2,70.8,72.8,23.6,0
201-300,UnitedStates,University of Oregon,null,34.7,74.3,61.8,16.7,0
201-300,Norway,University of Oslo,null,36.5,74.4,78.7,16.7,0
201-300,UnitedStates,University of South Florida,null,30.4,97.7,66.9,0,0
201-300,France,University of Strasbourg,null,41.5,59.8,66.6,23.6,0
201-300,Australia,University of Sydney,null,39.8,67.4,81.3,16.7,0
201-300,Spain,University of the Basque Country,null,35.5,68.2,78.3,16.7,0
201-300,France,University of Tours,null,25.6,76.1,78.2,16.7,0
201-300,Germany,University of Tuebingen,null,31.6,66.8,68.4,23.6,0
201-300,Italy,University of Turin,null,40.7,72.3,61.9,16.7,0
201-300,Spain,University of Valencia,null,43,60.1,80.6,16.7,0
201-300,Germany,University of Wuppertal,null,30.3,68,70.5,23.6,0
201-300,Italy,Verona University,null,24.9,100,80.5,0,0
201-300,Poland,Wroclaw University of Technology,null,33.4,73.7,57.7,16.7,0
201-300,China,Xiamen University,null,56.2,75.5,51.7,0,0
201-300,China,Xiangtan University,null,35.5,92.3,56.4,0,0
201-300,SouthKorea,Yeungnam University,null,22.9,100,80.2,0,0
201-300,China,Zhejiang Normal University,null,49.6,74,57.4,0,0
301-400,Denmark,Aarhus University,null,35,60.6,80.8,16.7,0
301-400,Poland,AGH University of Science and Technology,null,41.3,70.7,68.7,0,0
301-400,Iran,Amirkabir University of Technology,null,41.8,75.9,44.7,0,0
301-400,China,Anhui University,null,36.7,79.2,45.4,0,0
301-400,Romania,Babe?-Bolyai University,null,49.9,66.3,73.8,0,0
301-400,China,Beihang University,null,47.6,75.6,51.2,0,0
301-400,China,Beijing Institute of Technology,null,47.9,72.7,56.5,0,0
301-400,China,Beijing Jiaotong University,null,42.4,79.4,59.3,0,0
301-400,Israel,Ben-Gurion University of the Negev,null,47.4,64.2,75.2,0,0
301-400,Hungary,Budapest University of Technology and Economics,null,35,57.7,57.8,23.6,0
301-400,China,Civil Aviation University of China,null,28.6,89.2,35,0,0
301-400,Canada,Concordia University,null,26.3,63.2,82.1,23.6,0
301-400,China,Dalian University of Technology,null,56.7,67.1,46.1,0,0
301-400,China,Donghua University,null,31.2,88.5,53.4,0,0
301-400,UnitedStates,Duke University,null,35.6,74.7,69.9,0,0
301-400,UnitedKingdom,Durham University,null,34.7,61.3,75,16.7,0
301-400,France,Ecole des Ponts ParisTech,null,29.8,86.3,67.5,0,0
301-400,UnitedStates,Emory University,null,33.2,66.6,67,16.7,0
301-400,Hungary,Eotvos Lorand University,null,43.4,51.7,64.9,23.6,0
301-400,UnitedStates,Florida State University,null,31.3,84.3,62.1,0,0
301-400,Brazil,Fluminense Federal University,null,29.8,65.8,69.4,23.6,0
301-400,Germany,Heidelberg University,null,37.9,60.8,61.3,16.7,0
301-400,China,Henan Polytech University,null,42.3,75.2,52.4,0,0
301-400,China,Huaiyin Normal University,null,29.8,96.8,25.8,0,0
301-400,China,Hunan University,null,45.8,71.1,44.9,0,0
301-400,China,Huzhou University,null,23.7,100,42.1,0,0
301-400,India,Indian Institute of Science,null,35.5,59.9,61.6,16.7,0
301-400,China,Jiangsu Normal University,null,39.3,75.7,50.9,0,0
301-400,SaudiArabia,King Abdullah University of Science and Technology,null,31.5,83.4,91.1,0,0
301-400,SaudiArabia,King Fahd University of Petroleum & Minerals,null,45.4,69.4,80.3,0,0
301-400,Canada,Laval University,null,24.8,71.8,83.9,16.7,0
301-400,Netherlands,Leiden University,null,31.4,61.5,84.8,16.7,0
301-400,Sweden,Linkoping University,null,30.8,64,81.5,16.7,0
301-400,Sweden,Lund University,null,28.6,72.5,77.4,16.7,0
301-400,China,Nanjing Normal University,null,52.4,67.4,40.7,0,0
301-400,China,Nanjing University of Science and Technology,null,36.8,80.9,55.9,0,0
301-400,China,Northeastern University (Shenyang),null,40.3,80.6,55.4,0,0
301-400,SouthAfrica,North-West University,null,28.2,87.1,69,0,0
301-400,China,Northwestern Polytechnical University,null,42.3,79.9,54.6,0,0
301-400,UnitedStates,Oklahoma State University,null,28,85.1,58,0,0
301-400,Italy,Politecnico di Bari,null,21.2,93.1,65.9,0,0
301-400,Spain,Polytechnic University of Madrid,null,33.4,67.3,62,16.7,0
301-400,China,Renmin University of China,null,29.3,87.7,65.8,0,0
301-400,Germany,RWTH Aachen University,null,48.7,68.3,74.6,0,0
301-400,Germany,Saarland University,null,30,66.9,67.2,16.7,0
301-400,Italy,Second University of Naples,null,24.2,75,67.1,16.7,0
301-400,China,South China University of Technology,null,42.7,75.7,47.4,0,0
301-400,China,Southwest University,null,45.8,77.6,48.2,0,0
301-400,UnitedStates,Temple University,null,27.5,71,63.4,16.7,0
301-400,UnitedStates,Texas A&M University Kingsville,null,32.7,78.5,100,0,0
301-400,UnitedStates,The University of New Mexico - Albuquerque,null,24.3,68.5,66.8,23.6,0
301-400,China,Tongji University,null,49.6,73.8,42.6,0,0
301-400,UnitedStates,Tufts University,null,24.5,68.9,72.9,16.7,0
301-400,Spain,Universidad De Cadiz,null,30.6,67.4,59.9,16.7,0
301-400,Chile,Universidad Tecnica Federico Santa Maria,null,26.9,83.3,85.2,0,0
301-400,UnitedStates,University of Arkansas at Fayetteville,null,26.5,90.5,55.1,0,0
301-400,Portugal,University of Aveiro,null,39.4,74.4,81.6,0,0
301-400,Italy,University of Bari,null,34.6,83.8,60.8,0,0
301-400,Norway,University of Bergen,null,37.7,73.6,88.4,0,0
301-400,Italy,University of Bologna,null,46.3,72.7,71,0,0
301-400,Brazil,University of Bras?lia,null,35.1,61.1,64.9,16.7,0
301-400,Romania,University of Bucharest,null,53.5,59.1,67,0,0
301-400,Italy,University of Cagliari,null,27.8,84.8,73.3,0,0
301-400,Brazil,University of Campinas,null,48.7,68.7,61.2,0,0
301-400,Italy,University of Catania,null,37.3,76.3,66.5,0,0
301-400,UnitedStates,University of Central Florida,null,35,74.7,73.2,0,0
301-400,UnitedStates,University of Colorado at Boulder,null,40.6,80.5,62.4,0,0
301-400,Greece,University of Crete,null,25,62.9,78.1,28.9,0
301-400,Italy,University of Ferrara,null,25.4,87.7,67.2,0,0
301-400,Germany,University of Giessen,null,22.9,75.5,75.2,16.7,0
301-400,Germany,University of Goettingen,null,35.1,76.4,72.8,0,0
301-400,Austria,University of Graz,null,32.1,77.9,77.3,0,0
301-400,Israel,University of Haifa,null,38.7,57.9,77,16.7,0
301-400,Greece,University of Ioannina,null,33.2,76,92,0,0
301-400,UnitedStates,University of Kentucky,null,32.6,69.2,66.8,16.7,0
