World rank,Country,Institution,Total Score,PUB,CNCI,IC,TOP,AWARD
40,UnitedKingdom,University of Bristol,178,48.6,62.1,77.4,51.9,0
41,UnitedStates,The Ohio State University - Columbus,175.9,53.7,57.3,65,51.9,0
42,Finland,University of Helsinki,175.7,47.2,68.8,79.7,43.9,0
43,Switzerland,Swiss Federal Institute of Technology Lausanne,175.6,56.6,62.5,86.2,39.2,0
44,UnitedStates,"University of Minnesota, Twin Cities",174.4,59.5,63.4,61.3,39.2,0
45,France,Aix Marseille University,174.2,67.9,57.1,76,34,0
45,UnitedStates,California Institute of Technology,174.2,43.8,73.9,62.9,43.9,0
47,UnitedStates,Indiana University Bloomington,173.3,49,55.1,68.6,55.5,0
48,Canada,McGill University,172.2,46.8,61.2,81,48,0
49,Spain,University of Seville,171.6,62.8,60,74.5,34,0
50,Singapore,National University of Singapore,171.2,51.1,58.5,88.6,43.9,0
51-75,Spain,Autonomous University of Madrid,null,46.5,66.7,74.1,39.2,0
51-75,China-HongKong,City University of Hong Kong,null,50.2,72.4,67.4,27.7,0
51-75,France,Claude Bernard University Lyon 1,null,58.9,55.3,72.6,34,0
51-75,France,Ecole Centrale Lyon,null,54.6,56.1,72.4,34,0
51-75,France,Ecole Polytechnique,null,61,63.9,74.5,19.6,0
51-75,UnitedStates,Georgia Institute of Technology,null,60.1,60.7,69.5,34,0
51-75,France,INSA Lyon,null,56.1,59.5,71.9,34,0
51-75,Belgium,KU Leuven,null,63.5,65.8,78.7,19.6,0
51-75,Russia,Moscow State University,null,98.4,40.9,44,19.6,0
51-75,UnitedStates,Northwestern University,null,41.2,60.2,55.9,51.9,0
51-75,France,Paul Sabatier University (Toulouse 3),null,53.7,61.6,71.2,34,0
51-75,UnitedStates,Pennsylvania State University - University Park,null,61,57.6,69.7,27.7,0
51-75,UnitedStates,Purdue University - West Lafayette,null,60.4,57.8,68.4,34,0
51-75,UnitedStates,Rice University,null,40,75.1,58.5,34,0
51-75,Israel,Technion-Israel Institute of Technology,null,64.9,58.1,72.4,27.7,0
51-75,Israel,Tel Aviv University,null,65.1,52.4,74,34,0
51-75,China-HongKong,The Chinese University of Hong Kong,null,52.4,68.6,72.7,27.7,0
51-75,China,Tsinghua University,null,68.4,55.6,60.2,27.7,0
51-75,Canada,University of British Columbia,null,59.9,65.4,77.2,27.7,0
51-75,UnitedStates,University of Florida,null,48.2,57.3,63.3,19.6,32.2
51-75,UnitedStates,University of Pennsylvania,null,41.5,60,58.8,48,0
51-75,France,University of Rennes 1,null,45,61.2,67.4,43.9,0
51-75,China,University of Science and Technology of China,null,59.4,59,59.1,39.2,0
51-75,UnitedStates,University of Washington,null,50.9,62.1,65.2,43.9,0
51-75,Israel,Weizmann Institute of Science,null,46.4,53.2,78.9,43.9,0
76-100,Spain,Autonomous University of Barcelona,null,58,57.1,78.5,27.7,0
76-100,France,Jean Monnet University,null,55.2,55.3,72.7,34,0
76-100,UnitedStates,Michigan State University,null,50.4,65.2,72.2,19.6,0
76-100,France,Paris 13 University,null,43.4,54.8,71.7,39.2,0
76-100,SouthKorea,Seoul National University,null,51.7,56.8,67.8,27.7,0
76-100,China,Shanghai Jiao Tong University,null,65.3,58.5,61.2,19.6,0
76-100,Australia,The Australian National University,null,45.6,64.3,81.3,27.7,0
76-100,Australia,The University of New South Wales,null,50.4,63.6,80.2,19.6,0
76-100,France,Universit? Grenoble Alpes,null,59.3,55.8,64.1,27.7,0
76-100,UnitedKingdom,University College London,null,39.5,56.1,76.8,39.2,0
76-100,UnitedStates,University of Arizona,null,34.4,59,69.7,48,0
76-100,UnitedStates,"University of California, Irvine",null,46.9,59.7,67.1,34,0
76-100,Germany,University of Erlangen-Nuremberg,null,42.2,66.9,74.2,27.7,0
76-100,Spain,University of Granada,null,60.1,61.2,68.2,19.6,0
76-100,UnitedStates,University of Illinois at Chicago,null,45.3,55.8,63.3,43.9,0
76-100,Portugal,University of Lisbon,null,70.5,51.1,77.3,19.6,0
76-100,France,University of Lorraine,null,57.1,50.5,76.4,27.7,0
76-100,UnitedStates,"University of Maryland, College Park",null,51.5,57.8,68.7,34,0
76-100,Germany,University of Muenster,null,47.6,56.6,67.8,34,0
76-100,France,University of Nice Sophia Antipolis,null,46.1,62.8,71.1,27.7,0
76-100,Italy,University of Roma - Tor Vergata,null,51.6,60,68.8,27.7,0
76-100,Canada,University of Waterloo,null,62.2,49.6,77.1,27.7,0
76-100,Switzerland,University of Zurich,null,37.4,65,79.9,39.2,0
76-100,UnitedStates,Yale University,null,39.7,63.4,54.3,43.9,0
76-100,China,Zhejiang University,null,71.5,52.1,56.9,19.6,0
101-150,China,Beijing Normal University,null,63.2,64.8,53.2,0,0
101-150,Germany,Bielefeld University,null,45.1,60,79.2,19.6,0
101-150,UnitedStates,Boston College,null,23.2,62.1,46.3,48,0
101-150,China,Chongqing University,null,54.9,56.3,38.1,27.7,0
101-150,Netherlands,Eindhoven University of Technology,null,42.4,62.1,81,19.6,0
101-150,Hungary,Eotvos Lorand University,null,49.2,43.9,65.6,34,0
101-150,China,Harbin Institute of Technology,null,70.8,61.6,48.8,0,0
101-150,Germany,Humboldt University of Berlin,null,46.9,59.7,81.2,19.6,0
101-150,Iran,Islamic Azad University,null,78.3,56.8,61,0,0
101-150,UnitedStates,Johns Hopkins University,null,33.9,61.4,60.6,34,0
101-150,Japan,Nagoya University,null,44.3,56.3,56.9,27.7,0
101-150,Mexico,National Autonomous University of Mexico,null,62.3,48.2,75.8,19.6,0
101-150,Russia,National Research University - Higher School of Economics,null,51.1,54.8,64.9,27.7,0
101-150,Norway,Norwegian University of Science and Technology - NTNU,null,39.6,63.6,79.2,27.7,0
101-150,Italy,Polytechnic University of Turin,null,42.6,71.8,67.5,19.6,0
101-150,Australia,Queensland University of Technology,null,23.3,100,91,0,0
101-150,Russia,Saint Petersburg State University,null,54.6,51.3,59.2,27.7,0
101-150,Italy,Sapienza University of Rome,null,69,61.8,70.7,0,0
101-150,Italy,Scuola Normale Superiore - Pisa,null,37.3,73,73.4,19.6,0
101-150,China,Sun Yat-sen University,null,58.6,55.1,53.1,19.6,0
101-150,Germany,Technical University Munich,null,48.1,61.6,75.2,19.6,0
101-150,Japan,Tohoku University,null,48.7,50.2,57,27.7,0
101-150,UnitedStates,"University at Buffalo, the State University of New York",null,26.5,65.6,58,39.2,0
101-150,Canada,University of Alberta,null,48.6,59.7,78.7,19.6,0
101-150,Italy,University of Bologna,null,51,57.3,69.7,19.6,0
101-150,France,University of Bordeaux,null,47.2,55.1,77.5,27.7,0
101-150,France,University of Caen Lower Normandy,null,30.2,65.6,68.4,39.2,0
101-150,UnitedStates,"University of California, Davis",null,39,70.4,62,27.7,0
101-150,Chile,University of Chile,null,45.4,63,81,19.6,0
101-150,Germany,University of Duisburg-Essen,null,41.4,58.5,73.9,34,0
101-150,Italy,University of Florence,null,50.4,56.1,67.4,19.6,0
101-150,Germany,University of Freiburg,null,35.8,71.6,70.7,19.6,0
101-150,UnitedStates,University of Iowa,null,46.7,55.3,71.6,27.7,0
101-150,Germany,University of Kaiserslautern,null,39.2,57.6,68.5,27.7,0
101-150,UnitedStates,University of Kentucky,null,36.6,61.2,67.7,27.7,0
101-150,Germany,University of Cologne,null,40,58.5,79.6,27.7,0
101-150,UnitedKingdom,University of Leeds,null,43.6,53.8,76.6,27.7,0
101-150,Italy,University of Milan,null,53.9,75.6,74.2,0,0
101-150,Italy,University of Milan - Bicocca,null,43.8,60.9,66.7,19.6,0
101-150,UnitedStates,University of Missouri - Columbia,null,42.9,63,62.1,27.7,0
101-150,Canada,University of Montreal,null,42.8,57.1,73.7,27.7,0
101-150,Italy,University of Padua,null,55.9,56.6,66.2,19.6,0
101-150,UnitedStates,University of Southern California,null,37,60.7,63.5,39.2,0
101-150,UnitedStates,University of Utah,null,39.7,61.6,66.4,34,0
101-150,Poland,University of Warsaw,null,60,52.1,69.2,19.6,0
101-150,Sweden,Uppsala University,null,41.4,60.7,78.5,27.7,0
101-150,UnitedStates,Vanderbilt University,null,39.2,57.3,67.8,27.7,0
101-150,Austria,Vienna University of Technology,null,48.4,61.4,77.8,19.6,0
101-150,UnitedStates,Wayne State University,null,39.2,66.1,73,19.6,0
101-150,China,Wuhan University,null,55,57.8,49.6,19.6,0
151-200,Denmark,Aarhus University,null,37.7,54.3,85.9,27.7,0
151-200,Turkey,Atilim University,null,39.1,76.9,80.7,0,0
151-200,Egypt,Beni Suef University,null,24.4,90.5,88.5,0,0
151-200,Turkey,Cankaya University,null,33.8,84.5,92.6,0,0
151-200,China,Central South University,null,60.3,65,37.4,0,0
151-200,Sweden,Chalmers University of Technology,null,36.7,59.5,79.6,19.6,0
151-200,Czech,Charles University in Prague,null,69.1,51.9,76.9,0,0
151-200,UnitedStates,Cornell University,null,48.8,54.5,61.6,19.6,0
151-200,UnitedStates,Duke University,null,36,66.9,66.9,19.6,0
151-200,China,Fudan University,null,66,58.1,56.9,0,0
151-200,UnitedKingdom,Heriot-Watt University,null,38.8,59,75,19.6,0
151-200,UnitedStates,Kent State University,null,35.3,62.1,72.7,19.6,0
151-200,SaudiArabia,King Saud University,null,52.1,63.6,80.7,0,0
151-200,China,Nankai University,null,61.6,60.2,48.9,0,0
151-200,China-Taiwan,National Taiwan University,null,46,53.2,68.6,19.6,0
151-200,Japan,Osaka University,null,50.7,52.7,60.7,19.6,0
151-200,Italy,Polytechnic Institute of Milan,null,52.4,67.3,71.9,0,0
151-200,Spain,Polytechnic University of Catalonia,null,57.5,58.3,75.5,0,0
151-200,China,Shandong University,null,70.2,52.1,48.6,0,0
151-200,China,Shanghai University,null,64.8,55.8,51.9,0,0
151-200,China,Sichuan University,null,58.9,48.8,45.3,19.6,0
151-200,Canada,Simon Fraser University,null,42.3,55.8,77.2,19.6,0
151-200,China,Southeast University,null,59,66.1,50.8,0,0
151-200,SouthKorea,Sungkyunkwan University,null,40.8,74.5,80.6,0,0
151-200,China-HongKong,The Hong Kong Polytechnic University,null,46.5,74.1,65,0,0
151-200,China-HongKong,The Hong Kong University of Science and Technology,null,31.5,61.4,76.1,27.7,0
151-200,NewZealand,The University of Auckland,null,42.2,55.3,87.6,19.6,0
151-200,UnitedKingdom,The University of Manchester,null,45.6,51.3,72.5,19.6,0
151-200,Japan,The University of Tokyo,null,64.4,56.6,56.9,0,0
151-200,Spain,University of Barcelona,null,42.7,53,69,27.7,0
151-200,Argentina,University of Buenos Aires,null,45.1,47.6,69.2,27.7,0
151-200,Italy,University of Calabria,null,34.2,86.6,66.4,0,0
151-200,UnitedStates,"University of California, Riverside",null,37.2,65.8,65.6,19.6,0
151-200,France,University of Cergy-Pontoise,null,33.2,68.4,61.8,19.6,0
151-200,UnitedStates,University of Colorado at Boulder,null,40.7,64.8,61.9,19.6,0
151-200,UnitedStates,University of Connecticut,null,35.6,59.5,56.9,27.7,0
151-200,Denmark,University of Copenhagen,null,38.4,61.4,78.5,19.6,0
151-200,Germany,University of Goettingen,null,38.4,61.4,74.3,19.6,0
151-200,Germany,University of Hannover,null,43.1,58.5,70,19.6,0
151-200,Germany,University of Leipzig,null,33.9,55.3,78.6,27.7,0
151-200,UnitedStates,University of Massachusetts Amherst,null,32.2,62.8,70.1,27.7,0
151-200,UnitedStates,University of Miami,null,25.2,65.4,78.1,27.7,0
151-200,UnitedStates,University of Nebraska - Lincoln,null,37.2,65.2,67.2,19.6,0
151-200,UnitedStates,"University of Pittsburgh, Pittsburgh Campus",null,42.4,57.6,62.1,19.6,0
151-200,Brazil,University of Sao Paulo,null,66.7,51.9,74.5,0,0
151-200,Australia,University of Sydney,null,42.9,54.8,76.7,19.6,0
151-200,Spain,University of Valencia,null,44.9,51.3,80.5,19.6,0
151-200,Canada,University of Victoria,null,46.3,71.6,84.9,0,0
151-200,Netherlands,Utrecht University,null,35.3,52.7,78.6,27.7,0
151-200,SouthKorea,Yeungnam University,null,25.6,92.5,76,0,0
201-300,Poland,Adam Mickiewicz University,null,42.6,53.2,74.8,19.6,0
201-300,India,Aligarh Muslim University,null,42.8,60.9,80.7,0,0
201-300,Iran,Amirkabir University of Technology,null,45.3,65,46.5,0,0
201-300,Romania,Babe?-Bolyai University,null,53.7,57.8,71,0,0
201-300,UnitedStates,Brandeis University,null,24.8,63.6,64.6,27.7,0
201-300,UnitedKingdom,Brunel University,null,24.6,58.3,87.2,19.6,0
201-300,Hungary,Budapest University of Technology and Economics,null,36.7,46.7,60.8,34,0
201-300,UnitedKingdom,Cardiff University,null,26.2,60.7,80,19.6,0
201-300,Spain,Carlos III University of Madrid,null,40.5,64.3,78.4,0,0
201-300,Chile,Catholic University of Chile,null,33.5,55.8,79.7,19.6,0
201-300,Spain,Complutense University of Madrid,null,53.9,57.3,73,0,0
201-300,Canada,Concordia University,null,29.5,55.6,76.5,19.6,0
201-300,Australia,Curtin University,null,34.6,65.8,89.8,0,0
201-300,China,Dalian University of Technology,null,62.6,51.9,41.1,0,0
201-300,China,Donghua University,null,34.5,78.4,53.9,0,0
201-300,China,East China Normal University,null,60,50.8,48.4,0,0
201-300,France,Ecole des Ponts ParisTech,null,27.4,62.1,58.6,19.6,0
201-300,China,Guizhou University,null,27.4,80.4,53.4,0,0
201-300,SouthKorea,Gyeongsang National University,null,47.3,58.1,92.6,0,0
201-300,China-HongKong,Hong Kong Baptist University,null,38.6,71.6,53.8,0,0
201-300,China,Huazhong University of Science and Technology,null,52,61.4,47.8,0,0
201-300,India,Indian Institute of Science,null,37,47.6,57.2,27.7,0
201-300,UnitedStates,Indiana University-Purdue University at Indianapolis,null,23.3,63,84.1,19.6,0
201-300,France,Institut National Polytechnique de Grenoble,null,37.4,56.6,64.3,19.6,0
201-300,Italy,International School for Advanced Studies,null,37.7,71.2,68.4,0,0
201-300,Poland,Jagiellonian University,null,56.4,52.4,67.7,0,0
201-300,SaudiArabia,King Fahd University of Petroleum & Minerals,null,50.6,56.8,79.9,0,0
201-300,China,Lanzhou University,null,52.9,63,43.6,0,0
201-300,Netherlands,Leiden University,null,33.3,47.9,82.2,27.7,0
201-300,France,LILLE 1 University - Science and Technology,null,54,51.1,74.1,0,0
201-300,UnitedKingdom,Loughborough University,null,29.2,55.8,82,19.6,0
201-300,China,Nanjing University,null,59.6,59,49.5,0,0
201-300,UnitedKingdom,Newcastle University,null,24.1,53.5,81.9,27.7,0
201-300,Russia,Novosibirsk State University,null,51.8,49.9,46,19.6,0
201-300,SouthKorea,Pohang University of Science and Technology,null,37,56.1,70.4,19.6,0
201-300,Spain,Polytechnic University of Valencia,null,55.9,55.8,68,0,0
201-300,Pakistan,Quaid-i-Azam University,null,33.6,70.6,83.4,0,0
201-300,Netherlands,Radboud University Nijmegen,null,27.6,52.4,81.4,27.7,0
201-300,Italy,Roma Tre University,null,35.8,57.6,70,19.6,0
201-300,Germany,RWTH Aachen University,null,53.8,54.5,73.7,0,0
201-300,Italy,Second University of Naples,null,27.5,58.5,65.4,19.6,0
201-300,China,Shanghai Normal University,null,49.9,59.3,58.6,0,0
201-300,China,South China Normal University,null,61.1,52.7,37.1,0,0
201-300,UnitedStates,Syracuse University,null,29,58.3,72.2,27.7,0
201-300,Germany,Technical University of Berlin,null,53.4,60.5,75.1,0,0
201-300,UnitedStates,Texas A&M University Kingsville,null,32.6,76,100,0,0
201-300,Canada,The University of Calgary,null,40.2,42.6,82.4,19.6,0
201-300,UnitedStates,The University of Georgia,null,34.3,53.5,54.9,19.6,0
201-300,Australia,The University of Western Australia,null,38.8,53.8,85.8,19.6,0
201-300,Italy,Universita Mediterranea di Reggio Calabria,null,27,88.3,74.1,0,0
201-300,Belgium,Universit? libre de Bruxelles (ULB),null,39.8,60.7,88.5,0,0
201-300,France,Universite Paris-Est Marne-la-Vallee,null,38.3,67.7,73.8,0,0
201-300,UnitedKingdom,University of Aberdeen,null,34.6,56.8,75.7,19.6,0
201-300,Netherlands,University of Amsterdam,null,37.3,56.6,77.6,19.6,0
201-300,Portugal,University of Aveiro,null,42.7,60,80.6,0,0
201-300,Switzerland,University of Basel,null,26.3,65.2,83.1,19.6,0
201-300,Germany,University of Bayreuth,null,30,60.7,69.2,19.6,0
201-300,Serbia,University of Belgrade,null,52.9,60.7,72.7,0,0
201-300,Norway,University of Bergen,null,39.7,63.9,86.8,0,0
201-300,Romania,University of Bucharest,null,59.5,46.1,66.6,0,0
201-300,France,University of Burgundy,null,33.6,53.8,75.9,19.6,0
201-300,UnitedStates,"University of California, Santa Cruz",null,25.8,58.8,72.7,19.6,0
201-300,Germany,University of Frankfurt,null,33.8,61.4,74.9,19.6,0
201-300,Italy,University of Genoa,null,35.9,53.5,63.1,19.6,0
201-300,Sweden,University of Gothenburg,null,32.9,60.2,77.5,19.6,0
201-300,Israel,University of Haifa,null,43.4,50.2,77.7,19.6,0
201-300,Germany,University of Hamburg,null,38,48.5,62.8,19.6,0
201-300,Finland,University of Jyvaskyla,null,38.7,64.3,78.6,0,0
201-300,UnitedKingdom,University of Liverpool,null,35.9,51.3,81.6,19.6,0
201-300,Slovenia,University of Ljubljana,null,57.2,56.1,77.5,0,0
201-300,Slovenia,University of Maribor,null,38.1,65.8,75.8,0,0
201-300,Germany,University of Munich,null,43.7,66.1,69.4,0,0
201-300,Italy,University of Naples Federico II,null,48.2,62.3,59.3,0,0
201-300,UnitedStates,University of North Carolina at Chapel Hill,null,35.2,57.8,61.7,19.6,0
201-300,UnitedStates,University of Oklahoma - Norman,null,29.3,56.1,65.8,27.7,0
201-300,Canada,University of Ottawa,null,38.2,48.5,67.9,19.6,0
201-300,Italy,University of Palermo,null,39,73.4,78.5,0,0
201-300,Italy,University of Parma,null,33.1,83,60.9,0,0
201-300,Italy,University of Pavia,null,41.4,71.6,75.7,0,0
201-300,Italy,University of Perugia,null,36.1,72.4,67,0,0
201-300,Italy,University of Pisa,null,52.4,57.1,69.9,0,0
201-300,France,University of Poitiers,null,31.7,56.3,77.1,19.6,0
201-300,Germany,University of Regensburg,null,33.6,59.5,72.8,19.6,0
201-300,Spain,University of Santiago Compostela,null,40.6,66.7,77,0,0
201-300,UnitedStates,University of South Florida,null,32.4,76.9,67.3,0,0
201-300,UnitedKingdom,University of Southampton,null,37,51.9,77.9,19.6,0
201-300,France,University of Strasbourg,null,43.7,51.3,68.4,19.6,0
201-300,France,University of Toulouse 1,null,36.3,68.4,74.9,0,0
201-300,Germany,University of Tuebingen,null,34.6,52.1,67.5,19.6,0
201-300,Germany,University of Ulm,null,33.4,52.4,75.1,19.6,0
201-300,France,University of Versailles Saint-Quentin-en-Yvelines,null,30,56.1,72,19.6,0
201-300,UnitedStates,University of Virginia,null,33.8,60.7,71,19.6,0
201-300,Poland,University of Wroclaw,null,38.1,51.3,66.5,19.6,0
201-300,UnitedKingdom,University of York,null,27.9,51.1,74.4,27.7,0
201-300,Lithuania,Vilnius University,null,44.7,45.8,50.2,19.6,0
201-300,China,Xiamen University,null,58.5,56.1,49.3,0,0
201-300,China,Xian Jiao Tong University,null,57.8,53,47.4,0,0
201-300,China,Xiangtan University,null,37.9,70.6,51.6,0,0
201-300,Canada,York University,null,37.4,56.8,79.8,19.6,0
201-300,China,Zhejiang Normal University,null,54.3,55.1,52.9,0,0
301-400,Finland,Aalto University,null,38.8,60.2,77.5,0,0
301-400,Poland,AGH University of Science and Technology,null,41.2,56.3,68.3,0,0
301-400,UnitedStates,Arizona State University,null,40.5,56.3,70,0,0
301-400,China,Beihang University,null,49.9,55.8,47.4,0,0
301-400,China,Beijing Institute of Technology,null,49.4,52.7,51.9,0,0
301-400,Israel,Ben-Gurion University of the Negev,null,51.1,51.6,72.9,0,0
301-400,UnitedStates,Binghamton University,null,23.2,47.9,57.1,27.7,0
301-400,UnitedStates,Brigham Young University,null,33.2,51.1,59.5,19.6,0
301-400,Egypt,Cairo University,null,29.9,64.5,79.9,0,0
301-400,UnitedStates,Carnegie Mellon University,null,47.3,52.4,65.6,0,0
301-400,Germany,Chemnitz University of Technology,null,37.4,58.3,68.5,0,0
301-400,UnitedStates,College of  William and Mary,null,36.1,61.4,74.8,0,0
301-400,UnitedStates,Colorado State University,null,29.9,51.1,67.4,19.6,0
301-400,Pakistan,COMSATS Institute of Information Technology (CIIT),null,44.1,49.9,76.6,0,0
301-400,Brazil,Federal University of Rio de Janeiro,null,48.6,49.9,71.3,0,0
301-400,Brazil,Federal University of Rio Grande do Sul,null,24.3,54.3,69.5,19.6,0
301-400,Germany,Free University Berlin,null,44.9,53.5,74.8,0,0
301-400,Belgium,Ghent University,null,52.4,49.1,69.2,0,0
301-400,Austria,Graz University of Technology,null,41.1,58.3,80.7,0,0
301-400,China,Henan Polytech University,null,41.8,65.2,40.4,0,0
301-400,China,Huazhong Normal University,null,45.2,59.7,48.5,0,0
301-400,France,INSA Toulouse,null,35.9,64.3,74.3,0,0
301-400,China,Jiangnan University,null,29.7,70,48.6,0,0
301-400,China,Jilin University,null,53,51.6,39.5,0,0
301-400,Austria,Johannes Kepler University Linz,null,40.8,60,71,0,0
301-400,China-Taiwan,Kaohsiung Medical University,null,34.4,60.7,96.4,0,0
301-400,SaudiArabia,King Abdullah University of Science and Technology,null,31.5,67.3,91.8,0,0
301-400,Thailand,King Mongkuts University of Technology Thonburi,null,31.8,66.7,61.6,0,0
301-400,UnitedKingdom,King's College London,null,32.7,48.5,79.7,19.6,0
301-400,SouthKorea,Kyungpook National University,null,39.6,58.1,62.8,0,0
301-400,Japan,Kyushu University,null,44.6,55.3,49.8,0,0
301-400,Pakistan,Lahore University of Management Sciences,null,24.5,71.6,89.1,0,0
301-400,Canada,Laval University,null,26.4,52.1,83.2,19.6,0
301-400,UnitedStates,Louisiana State University - Baton Rouge,null,42.8,54.8,63.5,0,0
301-400,Egypt,Mansoura University,null,34.9,64.8,77.2,0,0
301-400,Canada,Memorial University of Newfoundland,null,34.5,63.4,86.1,0,0
301-400,UnitedStates,Missouri University of Science and Technology,null,27.4,65.8,85.9,0,0
301-400,China,Nanjing Normal University,null,54.9,49.1,35.4,0,0
301-400,China,Nanjing University of Science and Technology,null,36.4,62.8,53.3,0,0
301-400,Singapore,Nanyang Technological University,null,48.9,49.4,81.9,0,0
301-400,China-Taiwan,National Sun Yat-Sen University,null,37.5,59,87.5,0,0
301-400,Greece,National Technical University of Athens,null,41.5,58.3,83.7,0,0
301-400,China-Taiwan,National Tsing Hua University,null,35,45.2,63,19.6,0
301-400,Ireland,"National University of Ireland, Galway",null,36.9,56.3,89.1,0,0
301-400,Poland,Nicolaus Copernicus University,null,38.5,66.5,58.3,0,0
301-400,UnitedStates,North Carolina State University - Raleigh,null,45.6,53.8,66.3,0,0
301-400,China,Northeastern University(China),null,39.6,62.1,45.4,0,0
301-400,UnitedStates,Oklahoma State University,null,30.9,69.8,56.6,0,0
301-400,France,Paris 12 Val de Marne University,null,34.8,65.2,77.8,0,0
301-400,China,Shanxi Normal University,null,23,77.7,55.6,0,0
301-400,China,South China University of Technology,null,41.8,57.6,49.4,0,0
301-400,China,Southwest University,null,44.7,59.5,47.1,0,0
301-400,UnitedKingdom,Swansea University,null,28.9,65,80.6,0,0
301-400,Denmark,Technical University of Denmark,null,31.5,66.7,86,0,0
301-400,UnitedStates,Temple University,null,27.4,52.4,61.1,19.6,0
301-400,UnitedStates,The University of Texas at Arlington,null,28.5,67.1,79.6,0,0
301-400,China,Tianjin Polytechnic University,null,44.1,62.3,57.7,0,0
301-400,Japan,Tokyo Institute of Technology,null,43.4,53.8,61.5,0,0
301-400,China,Tongji University,null,51.6,57.8,42.1,0,0
301-400,Chile,Universidad Tecnica Federico Santa Maria,null,27,66.7,81.4,0,0
301-400,France,Universite Toulouse Jean Jaures,null,34.7,65.2,73.5,0,0
301-400,Italy,University of Bari,null,32.1,69.6,62.7,0,0
301-400,Switzerland,University of Bern,null,25.1,53.2,75,19.6,0
301-400,UnitedKingdom,University of Birmingham,null,41.3,55.3,77.7,0,0
301-400,Germany,University of Bochum,null,29.1,53.8,73.1,19.6,0
301-400,Brazil,University of Bras?lia,null,34.9,47.6,61.1,19.6,0
301-400,UnitedStates,"University of California, Santa Barbara",null,37.9,61.2,63.8,0,0
301-400,Brazil,University of Campinas,null,50.7,53.8,61.4,0,0
301-400,Spain,University of Cantabria,null,29.1,51.6,75.1,19.6,0
301-400,Italy,University of Catania,null,40,58.8,62.7,0,0
301-400,UnitedStates,University of Central Florida,null,37,60.5,71.5,0,0
301-400,Portugal,University of Coimbra,null,44.9,51.9,79.3,0,0
301-400,Germany,University of Duesseldorf,null,24.8,47.9,73,27.7,0
