World rank,Country,Institution,Total Score,PUB,CNCI,IC,TOP,AWARD
mathematics,2017,,,,,,,
1,UnitedStates,Princeton University,349.9,66.7,71,60.9,100,100
2,UnitedStates,New York University,286.4,60,73.2,69.9,65,74.3
3,France,Pierre and Marie  Curie University - Paris 6,284,100,64.5,69.5,73.4,32.2
4,UnitedStates,Massachusetts Institute of Technology (MIT),282.1,77.7,70,61.6,89.9,32.2
5,France,University of Paris-Sud (Paris 11),277.9,69.1,58.5,69.4,62,74.3
6,UnitedStates,"University of California, Los Angeles",264.3,62.8,66.3,69.3,76,45.5
7,UnitedKingdom,University of Cambridge,263.3,64.8,63.2,74.3,67.9,52.5
8,UnitedStates,Stanford University,263.2,63.9,72.4,62.1,62,52.5
9,UnitedStates,The University of Texas at Austin,250.9,62,71.6,65.2,58.8,45.5
10,UnitedKingdom,University of Oxford,248.8,73.3,63.9,73.5,70.7,26.3
11,Israel,The Hebrew University of Jerusalem,242.6,50.6,56.6,77.3,87.7,32.2
12,UnitedStates,"University of California, Berkeley",241.3,69.3,65.2,62.9,67.9,26.3
13,UnitedStates,Stony Brook University,231,44.2,60.5,59.2,62,52.5
14,UnitedStates,University of Chicago,230.9,57.3,70.6,65.6,89.9,0
15,UnitedKingdom,University of Warwick,229.4,56.4,61.4,76.3,43.9,52.5
16,UnitedStates,Harvard University,227,46,66.9,59.5,65,37.1
17,UnitedStates,University of Wisconsin - Madison,225.5,57.8,65.2,67.3,51.9,37.1
18,UnitedStates,"University of California, San Diego",221.2,56.3,63.4,66,62,26.3
19,UnitedStates,"Rutgers, The State University of New Jersey - New Brunswick",213.4,55.1,59.3,69.2,48,37.1
20,Switzerland,Swiss Federal Institute of Technology Zurich,210.4,63.8,65,82.8,65,0
21,UnitedKingdom,"The Imperial College of Science, Technology and Medicine",208.9,60.2,67.7,79.2,65,0
22,Japan,Kyoto University,208.1,68.5,57.8,58.4,43.9,26.3
23,UnitedStates,Columbia University,207.2,56.1,71,61,67.9,0
24,UnitedStates,University of Illinois at Urbana-Champaign,205,71.8,54,68.4,39.2,26.3
25,France,University Paris Diderot - Paris 7,204,66.5,64.3,71.9,58.8,0
26,Sweden,KTH Royal Institute of Technology,200.6,44,56.8,75.3,39.2,45.5
27,Canada,University of Toronto,193.1,61.2,57.6,77.1,58.8,0
28,SaudiArabia,King Abdulaziz University,192.8,96,77.9,94.8,0,0
29,UnitedStates,Texas A&M University,190.3,62.1,62.5,69.3,51.9,0
30,UnitedStates,University of Michigan-Ann Arbor,188.7,65.3,56.3,57.9,55.5,0
31,UnitedStates,Brown University,187.8,49.7,66.5,63.9,58.8,0
32,Germany,University of Bonn,186.7,59.6,64.5,72.6,48,0
33,UnitedKingdom,The University of Edinburgh,186.5,48.3,63,76.2,27.7,32.2
34,France,Paris Dauphine University (Paris 9),185.7,41,66.3,67.8,27.7,37.1
35,France,Ecole Normale Superieure - Paris,182.7,45.3,69.8,78.7,51.9,0
36,China,Peking University,182.5,67.2,60.7,53.7,43.9,0
37,Switzerland,University of Geneva,182.3,32,61.4,78.4,27.7,45.5
37,Austria,University of Vienna,182.3,65.1,62.5,77.3,39.2,0
39,France,Ecole Normale Superieure - Lyon,178.4,35.6,63.4,66.3,34,32.2
